round,FedAvg,FDP-FL,AVFL,AVFL-A
1,0.1,0.1,0.1,0.1
2,0.1,0.1,0.1,0.1
3,0.1,0.1,0.1,0.1
4,0.1,0.1,0.1,0.09985
5,0.1,0.10005,0.1,0.1
6,0.1,0.1009,0.1,0.1
7,0.1237,0.10235,0.114,0.1
8,0.1,0.1,0.1033,0.1182
9,0.1,0.1,0.1,0.1062
10,0.1,0.11395,0.1323,0.16725
11,0.107,0.1406,0.1,0.12725
12,0.13725,0.1063,0.14405,0.13115
13,0.13155,0.13435,0.17355,0.1298
14,0.10125,0.1078,0.1726,0.12115
15,0.11525,0.10645,0.228,0.1402
16,0.142,0.1457,0.21235,0.1154
17,0.13155,0.1803,0.1796,0.117
18,0.15485,0.1857,0.17235,0.10215
19,0.10205,0.16665,0.2595,0.1178
20,0.11245,0.14945,0.1764,0.1529
21,0.14695,0.1928,0.1591,0.1651
22,0.1688,0.1775,0.2119,0.152
23,0.13055,0.1994,0.20705,0.17135
24,0.15925,0.1486,0.20295,0.15065
25,0.165,0.1486,0.2541,0.1668
26,0.1648,0.16885,0.21535,0.17985
27,0.1642,0.15355,0.2801,0.1557
28,0.1626,0.15345,0.23575,0.19255
29,0.19875,0.14025,0.2388,0.19535
30,0.18445,0.1953,0.17145,0.2057
31,0.18165,0.20265,0.27005,0.2316
32,0.1706,0.2281,0.3068,0.21295
33,0.19595,0.2357,0.2877,0.2005
34,0.1927,0.25345,0.25265,0.1812
35,0.21875,0.2506,0.2787,0.16985
36,0.1986,0.25805,0.2497,0.191
37,0.1845,0.2097,0.26035,0.1787
38,0.19455,0.20165,0.2515,0.2442
39,0.17885,0.2341,0.26955,0.20815
40,0.23695,0.20285,0.30185,0.2279
41,0.2073,0.23645,0.28235,0.2879
42,0.21,0.2058,0.3014,0.29775
43,0.203,0.18415,0.23695,0.2634
44,0.19685,0.2007,0.26375,0.27405
45,0.2702,0.22815,0.2823,0.29215
46,0.2156,0.23735,0.26075,0.25295
47,0.27685,0.25385,0.33045,0.24865
48,0.25745,0.21555,0.297,0.274
49,0.2264,0.2325,0.3411,0.28915
50,0.23445,0.23035,0.26815,0.32055
51,0.2669,0.2521,0.32135,0.29155
52,0.24165,0.2432,0.29185,0.29155
53,0.2621,0.28035,0.21255,0.3426
54,0.2799,0.25475,0.33555,0.33465
55,0.2782,0.2109,0.32045,0.31135
56,0.2648,0.25625,0.332,0.3363
57,0.2843,0.279,0.26325,0.29795
58,0.2922,0.28675,0.3461,0.30125
59,0.2394,0.2714,0.3484,0.29095
60,0.26645,0.2971,0.3467,0.348
61,0.2653,0.2894,0.29175,0.2757
62,0.2842,0.27125,0.3288,0.2984
63,0.2866,0.30865,0.34945,0.2946
64,0.2817,0.28525,0.26685,0.33015
65,0.2744,0.28545,0.3261,0.2981
66,0.2956,0.29015,0.34025,0.2694
67,0.3232,0.3202,0.365,0.3176
68,0.2923,0.3075,0.32765,0.31755
69,0.2923,0.2986,0.30575,0.29265
70,0.32575,0.3031,0.3498,0.287
71,0.30905,0.30255,0.242,0.33425
72,0.28615,0.30035,0.3636,0.34245
73,0.31255,0.30035,0.3898,0.329
74,0.31875,0.2937,0.34925,0.3554
