round,FedAvg,FDL-FL,AVFL,AVFL+Macro schedule
1,0.030013298,0.02706117,0.031196809,0.021276596
2,0.045,0.061928191,0.063085106,0.077695035
3,0.05856383,0.080611702,0.118231383,0.155602837
4,0.091183511,0.110239362,0.182260638,0.207659574
5,0.117420213,0.123962766,0.27206117,0.25072695
6,0.137593085,0.163896277,0.292952128,0.288191489
7,0.151303191,0.174667553,0.324521277,0.30891844
8,0.21787234,0.200904255,0.362845745,0.348634752
9,0.223404255,0.222433511,0.375093085,0.355425532
10,0.252380319,0.238683511,0.440718085,0.428439716
11,0.250478723,0.262992021,0.447486702,0.423386525
12,0.269494681,0.303125,0.446662234,0.483829787
13,0.289042553,0.304707447,0.443896277,0.460585106
14,0.311117021,0.335718085,0.439468085,0.462358156
15,0.311835106,0.354228723,0.479773936,0.508085106
16,0.312446809,0.384268617,0.487287234,0.498067376
17,0.368218085,0.391675532,0.502646277,0.518882979
18,0.388803191,0.406648936,0.505731383,0.540301418
19,0.408071809,0.425957447,0.481263298,0.472677305
20,0.441050532,0.421954787,0.542486702,0.548741135
21,0.421515957,0.416382979,0.520518617,0.570230496
22,0.422194149,0.437047872,0.522925532,0.591134752
23,0.428151596,0.440465426,0.534720745,0.57001773
24,0.447513298,0.456702128,0.536356383,0.594893617
25,0.45393617,0.456196809,0.549654255,0.611666667
26,0.472406915,0.453869681,0.532446809,0.591542553
27,0.483457447,0.450345745,0.586303191,0.596205674
28,0.488005319,0.473789894,0.552087766,0.602606383
29,0.506515957,0.479335106,0.557672872,0.604095745
30,0.504361702,0.502513298,0.565319149,0.647836879
31,0.508736702,0.500704787,0.56,0.629609929
32,0.523962766,0.499946809,0.601835106,0.64287234
33,0.52275266,0.494069149,0.564574468,0.630460993
34,0.514468085,0.520212766,0.577792553,0.641524823
35,0.495851064,0.52625,0.581356383,0.646932624
36,0.499973404,0.535066489,0.587659574,0.654219858
37,0.517194149,0.557606383,0.554720745,0.630656028
38,0.520784574,0.541941489,0.584414894,0.634716312
39,0.526210106,0.52537234,0.597845745,0.654343972
40,0.548882979,0.543085106,0.598337766,0.65679078
41,0.553670213,0.534667553,0.588071809,0.652765957
42,0.525957447,0.53375,0.569361702,0.672836879
43,0.532593085,0.550678191,0.592925532,0.650283688
44,0.571702128,0.548204787,0.611143617,0.672659574
45,0.566648936,0.56856383,0.611090426,0.652890071
46,0.568045213,0.583111702,0.569734043,0.671471631
