round,FedAvg+Macro schedule,FDL-FL+Macro schedule,AVFL+Macro schedule,FedAvg,FDL-FL,AVFL
1,0.024255319,0.036099291,0.028687943,0.030013298,0.02706117,0.031196809
2,0.05981383,0.052393617,0.071507092,0.045,0.061928191,0.063085106
3,0.079494681,0.070159574,0.145975177,0.05856383,0.080611702,0.118231383
4,0.075239362,0.091028369,0.173865248,0.091183511,0.110239362,0.182260638
5,0.118882979,0.120602837,0.236985816,0.117420213,0.123962766,0.27206117
6,0.181755319,0.146719858,0.245460993,0.137593085,0.163896277,0.292952128
7,0.171835106,0.172056738,0.309485816,0.151303191,0.174667553,0.324521277
8,0.196542553,0.218953901,0.334060284,0.21787234,0.200904255,0.362845745
9,0.195132979,0.226897163,0.343351064,0.223404255,0.222433511,0.375093085
10,0.202925532,0.269503546,0.39501773,0.252380319,0.238683511,0.440718085
11,0.266382979,0.268758865,0.418847518,0.250478723,0.262992021,0.447486702
12,0.276489362,0.291471631,0.42427305,0.269494681,0.303125,0.446662234
13,0.285718085,0.324343972,0.461755319,0.289042553,0.304707447,0.443896277
14,0.343271277,0.297712766,0.452783688,0.311117021,0.335718085,0.439468085
15,0.312074468,0.327163121,0.432836879,0.311835106,0.354228723,0.479773936
16,0.346702128,0.367092199,0.504042553,0.312446809,0.384268617,0.487287234
17,0.324335106,0.385602837,0.50391844,0.368218085,0.391675532,0.502646277
18,0.33287234,0.38179078,0.493723404,0.388803191,0.406648936,0.505731383
19,0.357712766,0.378351064,0.507375887,0.408071809,0.425957447,0.481263298
20,0.375505319,0.40108156,0.499237589,0.441050532,0.421954787,0.542486702
21,0.416728723,0.427570922,0.54964539,0.421515957,0.416382979,0.520518617
22,0.443111702,0.445460993,0.567358156,0.422194149,0.437047872,0.522925532
23,0.453457447,0.473368794,0.559326241,0.428151596,0.440465426,0.534720745
24,0.4625,0.472801418,0.589379433,0.447513298,0.456702128,0.536356383
25,0.485824468,0.513794326,0.574343972,0.45393617,0.456196809,0.549654255
26,0.485851064,0.525975177,0.579219858,0.472406915,0.453869681,0.532446809
27,0.501648936,0.532411348,0.575638298,0.483457447,0.450345745,0.586303191
28,0.503430851,0.542269504,0.579946809,0.488005319,0.473789894,0.552087766
29,0.509920213,0.547570922,0.55785461,0.506515957,0.479335106,0.557672872
30,0.499734043,0.524184397,0.60035461,0.504361702,0.502513298,0.565319149
31,0.499760638,0.524184397,0.588882979,0.508736702,0.500704787,0.56
32,0.533723404,0.521134752,0.593297872,0.523962766,0.499946809,0.601835106
33,0.541675532,0.524787234,0.602180851,0.52275266,0.494069149,0.564574468
34,0.52662234,0.516312057,0.603457447,0.514468085,0.520212766,0.577792553
35,0.557845745,0.531648936,0.606719858,0.495851064,0.52625,0.581356383
36,0.557260638,0.551223404,0.621294326,0.499973404,0.535066489,0.587659574
37,0.586941489,0.551666667,0.63358156,0.517194149,0.557606383,0.554720745
38,0.561090426,0.544556738,0.595957447,0.520784574,0.541941489,0.584414894
39,0.576595745,0.528351064,0.605886525,0.526210106,0.52537234,0.597845745
40,0.563590426,0.558599291,0.658989362,0.548882979,0.543085106,0.598337766
41,0.580984043,0.563953901,0.643102837,0.553670213,0.534667553,0.588071809
42,0.58625,0.550390071,0.650549645,0.525957447,0.53375,0.569361702
43,0.589787234,0.575443262,0.629361702,0.532593085,0.550678191,0.592925532
44,0.597792553,0.576808511,0.652092199,0.571702128,0.548204787,0.611143617
45,0.566382979,0.578723404,0.648315603,0.566648936,0.56856383,0.611090426
46,0.565930851,0.574219858,0.632535461,0.568045213,0.583111702,0.569734043
47,0.576170213,0.576843972,0.652695035,0.556875,0.571103723,0.615
48,0.553138298,0.585478723,0.651028369,0.563444149,0.546396277,0.610172872
49,0.574175532,0.573900709,0.631542553,0.566595745,0.555172872,0.618829787
50,0.582021277,0.589787234,0.632021277,0.564148936,0.563324468,0.630332447
51,0.582952128,0.580868794,0.655567376,0.565824468,0.579175532,0.588803191
52,0.586702128,0.59106383,0.670797872,0.562340426,0.574574468,0.618510638
53,0.576303191,0.603687943,0.670407801,0.574175532,0.571449468,0.617393617
54,0.588271277,0.618475177,0.661648936,0.591994681,0.560492021,0.648643617
55,0.594175532,0.61427305,0.656631206,0.582526596,0.57474734,0.643909574
56,0.618670213,0.611631206,0.675762411,0.579388298,0.573670213,0.633111702
57,0.589361702,0.603634752,0.668156028,0.587513298,0.571170213,0.634920213
58,0.608218085,0.61035461,0.677358156,0.582087766,0.561808511,0.611542553
59,0.592819149,0.595957447,0.678741135,0.594441489,0.549454787,0.603018617
60,0.593085106,0.60608156,0.67393617,0.601143617,0.557912234,0.65231383
61,0.619680851,0.618971631,0.673971631,0.586994681,0.565106383,0.61768617
62,0.611409574,0.615443262,0.682659574,0.585944149,0.587034574,0.619773936
63,0.608617021,0.614361702,0.657216312,0.597353723,0.578710106,0.642579787
64,0.58893617,0.63462766,0.68535461,0.593922872,0.581675532,0.60287234
65,0.620319149,0.62677305,0.678776596,0.596968085,0.599867021,0.632300532
66,0.631648936,0.628971631,0.675,0.59462766,0.597300532,0.613550532
67,0.632021277,0.634095745,0.677890071,0.602952128,0.600292553,0.614654255
68,0.637287234,0.637535461,0.681099291,0.584773936,0.597167553,0.639295213
69,0.646595745,0.635673759,0.68998227,0.589614362,0.619055851,0.638523936
70,0.615904255,0.630851064,0.665921986,0.591369681,0.620718085,0.649082447
71,0.623829787,0.626968085,0.691010638,0.600558511,0.607832447,0.643364362
72,0.624521277,0.62001773,0.695833333,0.609441489,0.610984043,0.643430851
73,0.641515957,0.629166667,0.672553191,0.597353723,0.61,0.626768617
74,0.621462766,0.632021277,0.679219858,0.602832447,0.597779255,0.634162234
75,0.615691489,0.635673759,0.682340426,0.603297872,0.599694149,0.647406915
76,0.626728723,0.634468085,0.678670213,0.607659574,0.598151596,0.626609043
77,0.620824468,0.645106383,0.690265957,0.607473404,0.619880319,0.638843085
78,0.651117021,0.627535461,0.668900709,0.626196809,0.624694149,0.643656915
79,0.661143617,0.627198582,0.690390071,0.62337766,0.598284574,0.64650266
80,0.658776596,0.646028369,0.687234043,0.613071809,0.601037234,0.648005319
