round,FedAvg,FDP-FL,FEDDATE-CS,FedBuff,MR-VFL
1,0.1135,0.162,0.19935,0.1896,0.1203
2,0.13364,0.20844,0.17505,0.108,0.2408
3,0.21748,0.191,0.23975,0.2058,0.31545
4,0.28076,0.22854,0.23645,0.2538,0.41175
5,0.27876,0.247,0.27555,0.2514,0.27175
6,0.30718,0.25604,0.368425,0.2942,0.4077
7,0.30976,0.30922,0.389775,0.2789,0.3795
8,0.34542,0.3445,0.384275,0.2206,0.3506
9,0.32924,0.33812,0.37895,0.4602,0.46205
10,0.31804,0.3804,0.4432,0.3536,0.50415
11,0.34014,0.38078,0.440575,0.2657,0.53815
12,0.3468,0.37402,0.44855,0.2845,0.5833
13,0.36788,0.45898,0.47125,0.4228,0.6021
14,0.38534,0.43652,0.447375,0.4389,0.6182
15,0.39542,0.48058,0.483375,0.5509,0.6158
16,0.4712,0.43228,0.498375,0.4199,0.5891
17,0.48492,0.45394,0.5254,0.5615,0.59735
18,0.52372,0.46308,0.537275,0.5692,0.59385
19,0.5043,0.47136,0.569475,0.4638,0.61555
20,0.51874,0.46952,0.548975,0.4463,0.602
21,0.46104,0.52838,0.630375,0.5898,0.6652
22,0.46136,0.51386,0.58325,0.6578,0.53215
23,0.52286,0.54002,0.58125,0.5381,0.62185
24,0.53564,0.48996,0.60485,0.6319,0.6566
25,0.55026,0.48672,0.60075,0.6438,0.62485
26,0.55616,0.51952,0.62605,0.6431,0.6972
27,0.5301,0.54898,0.655675,0.6725,0.70185
28,0.53808,0.5538,0.64425,0.5701,0.69495
29,0.53062,0.58504,0.645175,0.6123,0.66355
30,0.51524,0.59058,0.6493,0.5242,0.70805
31,0.55888,0.55398,0.642975,0.6336,0.68155
32,0.51526,0.55412,0.649,0.5423,0.66185
33,0.56454,0.57026,0.66355,0.5873,0.63685
34,0.6032,0.58928,0.646125,0.6991,0.69805
35,0.60206,0.58256,0.65985,0.5412,0.68385
36,0.61034,0.5772,0.6594,0.607,0.6528
37,0.59794,0.5688,0.669325,0.6137,0.73845
38,0.59916,0.58524,0.667025,0.6771,0.7265
39,0.6167,0.58998,0.650375,0.6056,0.7327
40,0.64384,0.56778,0.6634,0.6299,0.69455
41,0.6393,0.6057,0.65455,0.5597,0.72445
42,0.63962,0.60134,0.640025,0.608,0.72375
43,0.64688,0.58164,0.658425,0.6493,0.73575
44,0.62966,0.54544,0.66735,0.6122,0.73825
45,0.63102,0.58596,0.685725,0.6654,0.7311
46,0.63506,0.59056,0.676025,0.6096,0.73635
47,0.63854,0.59332,0.665225,0.6687,0.6859
48,0.61878,0.57956,0.694225,0.6117,0.70075
49,0.6215,0.62038,0.696475,0.6391,0.6918
50,0.61894,0.59668,0.697475,0.6904,0.70385
51,0.61896,0.6014,0.702925,0.5376,0.69635
52,0.62024,0.62418,0.699125,0.6799,0.7461
53,0.63366,0.64318,0.67465,0.5043,0.72125
54,0.63442,0.63834,0.703075,0.64,0.76865
55,0.6426,0.663,0.689275,0.651,0.75195
56,0.64934,0.65958,0.681125,0.6965,0.74285
57,0.595,0.6257,0.7031,0.7115,0.731
58,0.6427,0.63478,0.719,0.6996,0.75195
59,0.61874,0.60046,0.69285,0.7082,0.7662
60,0.60504,0.62308,0.6789,0.6022,0.739
61,0.61948,0.61002,0.6925,0.7361,0.75075
62,0.65856,0.61358,0.709225,0.7317,0.772
63,0.66058,0.63398,0.682425,0.6401,0.75305
64,0.68522,0.65402,0.715825,0.696,0.7529
65,0.66074,0.67484,0.692525,0.6787,0.7707
66,0.6541,0.64616,0.714375,0.6227,0.77085
67,0.66076,0.65498,0.731925,0.7393,0.76365
68,0.65308,0.65188,0.6939,0.7233,0.746
69,0.65272,0.68078,0.6993,0.6671,0.7655
70,0.64724,0.68012,0.716475,0.5673,0.75185
71,0.65962,0.6646,0.7234,0.5915,0.78845
72,0.6577,0.6585,0.732325,0.6729,0.7762
73,0.6312,0.64768,0.715175,0.6524,0.78325
74,0.63466,0.64946,0.713425,0.7035,0.74645
75,0.65688,0.64958,0.730725,0.7579,0.75215
76,0.6407,0.66478,0.724525,0.7478,0.7545
77,0.64278,0.66388,0.7035,0.7399,0.775
78,0.67006,0.64016,0.722975,0.7529,0.7878
79,0.66942,0.63758,0.71025,0.6961,0.7835
80,0.68032,0.67428,0.7362,0.6014,0.7696
81,0.66342,0.67384,0.70915,0.7038,0.7824
82,0.67714,0.6588,0.719975,0.7317,0.77995
83,0.65628,0.70504,0.717825,0.6381,0.75615
84,0.673,0.70894,0.714475,0.6772,0.7666
85,0.68772,0.68558,0.744525,0.725,0.7783
86,0.681,0.67878,0.738375,0.7225,0.79415
87,0.69238,0.6856,0.72115,0.7392,0.7903
88,0.69514,0.68198,0.75195,0.7462,0.78325
89,0.69314,0.70524,0.746425,0.7466,0.7788
90,0.66818,0.6836,0.747225,0.765,0.77945
91,0.68694,0.65332,0.7511,0.7489,0.7697
92,0.67868,0.67928,0.75195,0.7718,0.79345
93,0.68066,0.68044,0.7397,0.6779,0.79185
94,0.66254,0.6891,0.7264,0.7164,0.7896
95,0.68924,0.67902,0.715625,0.6828,0.7744
96,0.67164,0.69504,0.746275,0.7288,0.78285
97,0.69938,0.68132,0.746075,0.6874,0.79005
98,0.68904,0.69064,0.72405,0.7698,0.77875
99,0.68032,0.67878,0.73955,0.6096,0.7948
100,0.68484,0.66974,0.755375,0.7405,0.7825
101,0.69394,0.68718,0.74025,0.7203,0.79725
102,0.6894,0.68624,0.738975,0.714,0.78615
103,0.6711,0.70176,0.748725,0.7197,0.7894
104,0.70106,0.68906,0.749175,0.7336,0.79305
105,0.70896,0.68056,0.745775,0.7101,0.7933
106,0.69998,0.70222,0.7399,0.7274,0.7551
107,0.71424,0.7005,0.7613,0.7268,0.78805
108,0.69906,0.70914,0.749475,0.7278,0.78935
109,0.71854,0.71476,0.7533,0.7611,0.79695
110,0.70532,0.70824,0.754,0.7353,0.7832
111,0.72404,0.7035,0.7353,0.6722,0.7928
112,0.73004,0.69956,0.763,0.7218,0.7928
113,0.74536,0.69692,0.718775,0.7411,0.7944
114,0.74938,0.68424,0.7425,0.7325,0.79535
115,0.74044,0.70916,0.7302,0.7569,0.7951
116,0.72714,0.70462,0.739175,0.7493,0.7796
117,0.71716,0.71082,0.7447,0.7858,0.79375
118,0.73136,0.70744,0.74315,0.7687,0.79175
119,0.73182,0.70874,0.745375,0.7336,0.7951
120,0.73524,0.70554,0.75295,0.6673,0.79745
121,0.73752,0.6989,0.758575,0.739,0.79535
122,0.73102,0.70446,0.7508,0.7321,0.78935
